Zeit [ms];Abs. Messwert;Kal. Messwert;Zeitdiff.;;;
25;8300886;1;;;Mittlere Zeitdiff. [Hz];Messfrequenz [Hz]
37;8300411;1;12;;11,97;83,57
48;8301477;2;11;;;
59;8301972;2;11;;;
70;8301638;2;11;;;
81;8301488;2;11;;;
92;8301930;2;11;;;
103;8301848;2;11;;;
114;8301000;1;11;;;
126;8300438;1;12;;;
137;8300724;1;11;;;
148;8300487;1;11;;;
160;8299747;1;12;;;
171;8299581;1;11;;;
182;8299306;0;11;;;
193;8299338;0;11;;;
205;8299232;0;12;;;
215;8299246;0;10;;;
226;8298767;0;11;;;
237;8298227;0;11;;;
249;8298442;0;12;;;
260;8298721;0;11;;;
271;8298307;0;11;;;
282;8298112;0;11;;;
294;8298272;0;12;;;
305;8298876;0;11;;;
316;8299652;1;11;;;
327;8298751;0;11;;;
339;8298929;0;12;;;
349;8298832;0;10;;;
360;8299014;0;11;;;
371;8298915;0;11;;;
383;8298928;0;12;;;
394;8299009;0;11;;;
405;8299331;0;11;;;
417;8299372;0;12;;;
428;8299344;0;11;;;
439;8299373;0;11;;;
450;8299531;1;11;;;
462;8299702;1;12;;;
472;8299703;1;10;;;
483;8299636;1;11;;;
494;8299484;0;11;;;
506;8299344;0;12;;;
517;8299254;0;11;;;
528;8299261;0;11;;;
539;8299272;0;11;;;
551;8299198;0;12;;;
562;8299036;0;11;;;
573;8298706;0;11;;;
584;8307579;5;11;;;
596;8357828;33;12;;;
606;8437499;77;10;;;
617;8528245;128;11;;;
628;8618288;178;11;;;
642;8703391;225;14;;;
656;8792965;275;14;;;
669;8883793;325;13;;;
683;8973166;375;14;;;
696;9119639;456;13;;;
709;9165640;482;13;;;
724;9173776;486;15;;;
737;9139755;467;13;;;
750;9053698;419;13;;;
764;8748730;250;14;;;
777;8595961;165;13;;;
791;8480268;101;14;;;
805;8399941;56;14;;;
817;8349015;28;12;;;
829;8320701;12;12;;;
841;8305820;4;12;;;
854;8311937;7;13;;;
865;8319886;12;11;;;
877;8330125;18;12;;;
890;8348813;28;13;;;
902;8391279;51;12;;;
915;8475699;98;13;;;
928;8584624;159;13;;;
941;8702887;225;13;;;
954;8912689;341;13;;;
967;8987212;383;13;;;
982;9040863;412;15;;;
995;9078302;433;13;;;
1008;9104071;447;13;;;
1022;9107977;450;14;;;
1035;9079553;434;13;;;
1049;9024872;403;14;;;
1063;8944008;359;14;;;
1076;8752082;252;13;;;
1089;8662019;202;13;;;
1103;8582109;157;14;;;
1117;8516235;121;14;;;
1130;8463115;91;13;;;
1143;8423914;70;13;;;
1155;8391976;52;12;;;
1167;8392210;52;12;;;
1179;8394594;53;12;;;
1193;8405271;59;14;;;
1205;8421612;68;12;;;
1217;8451998;85;12;;;
1230;8505174;115;13;;;
1243;8588518;161;13;;;
1257;8814151;286;14;;;
1271;8905962;337;14;;;
1284;8978611;378;13;;;
1297;9040528;412;13;;;
1310;9141073;468;13;;;
1325;9175534;487;15;;;
1338;9187565;494;13;;;
1351;9172700;486;13;;;
1365;9138179;466;14;;;
1378;8998067;389;13;;;
1392;8893928;331;14;;;
1406;8781550;268;14;;;
1419;8670375;207;13;;;
1432;8574066;153;13;;;
1446;8416458;65;14;;;
1459;8356916;32;13;;;
1471;8317815;11;12;;;
1484;8304445;3;13;;;
1495;8300396;1;11;;;
1506;8299419;0;11;;;
1518;8299657;1;12;;;
1530;8299492;0;12;;;
1541;8299511;0;11;;;
1552;8299594;1;11;;;
1563;8299648;1;11;;;
1575;8299575;1;12;;;
1587;8299687;1;12;;;
1598;8299629;1;11;;;
1609;8299658;1;11;;;
1621;8299740;1;12;;;
1632;8299673;1;11;;;
1643;8299623;1;11;;;
1656;8299592;1;13;;;
1667;8299575;1;11;;;
1678;8299522;0;11;;;
1689;8299457;0;11;;;
1701;8299588;1;12;;;
1712;8299528;1;11;;;
1724;8299484;0;12;;;
1735;8299469;0;11;;;
1747;8299449;0;12;;;
1758;8299512;0;11;;;
1769;8299660;1;11;;;
1782;8299612;1;13;;;
1793;8299549;1;11;;;
1804;8299540;1;11;;;
1815;8299556;1;11;;;
1827;8299607;1;12;;;
1838;8299652;1;11;;;
1850;8299711;1;12;;;
1861;8299643;1;11;;;
1873;8299628;1;12;;;
1884;8299756;1;11;;;
1895;8299623;1;11;;;
1906;8308450;5;11;;;
1919;8373362;42;13;;;
1931;8455352;87;12;;;
1943;8539436;134;12;;;
1957;8636870;188;14;;;
1970;8853869;308;13;;;
1984;8984195;381;14;;;
1998;9127029;460;14;;;
2011;9263671;536;13;;;
2024;9386048;604;13;;;
2038;9598405;722;14;;;
2052;9686304;771;14;;;
2065;9741810;802;13;;;
2078;9753831;808;13;;;
2092;9726059;793;14;;;
2105;9559760;701;13;;;
2119;9405907;615;14;;;
2133;9193423;497;14;;;
2146;8957088;366;13;;;
2159;8744917;248;13;;;
2173;8450478;84;14;;;
2186;8355706;32;13;;;
2198;8301262;1;12;;;
2210;8297249;0;12;;;
2221;8300937;1;11;;;
2232;8301206;1;11;;;
2243;8300814;1;11;;;
2256;8300449;1;13;;;
2267;8300440;1;11;;;
2278;8300431;1;11;;;
2289;8300459;1;11;;;
2301;8300643;1;12;;;
2313;8300713;1;12;;;
2324;8300863;1;11;;;
2336;8301025;1;12;;;
2347;8300902;1;11;;;
2358;8300856;1;11;;;
2369;8300700;1;11;;;
2382;8300583;1;13;;;
2393;8300604;1;11;;;
2404;8300526;1;11;;;
2415;8300425;1;11;;;
2427;8300513;1;12;;;
2438;8300588;1;11;;;
2450;8300582;1;12;;;
2461;8300603;1;11;;;
2473;8300664;1;12;;;
2484;8300684;1;11;;;
2495;8300657;1;11;;;
2507;8300618;1;12;;;
2519;8300584;1;12;;;
2530;8300617;1;11;;;
2541;8300551;1;11;;;
2553;8300492;1;12;;;
2564;8300396;1;11;;;
2575;8300476;1;11;;;
2587;8300379;1;12;;;
2599;8300417;1;12;;;
2610;8300499;1;11;;;
2621;8300478;1;11;;;
2632;8300461;1;11;;;
2644;8300346;1;12;;;
2656;8300100;1;12;;;
2667;8299882;1;11;;;
2679;8299871;1;12;;;
2690;8300127;1;11;;;
2701;8300204;1;11;;;
2713;8300169;1;12;;;
2725;8300046;1;12;;;
2736;8300096;1;11;;;
2747;8300143;1;11;;;
2758;8300250;1;11;;;
2770;8300175;1;12;;;
2782;8300231;1;12;;;
2793;8300269;1;11;;;
2804;8300358;1;11;;;
2816;8300382;1;12;;;
2827;8300480;1;11;;;
2838;8300372;1;11;;;
2851;8300177;1;13;;;
2862;8300190;1;11;;;
2873;8300347;1;11;;;
2884;8300539;1;11;;;
2896;8300593;1;12;;;
2907;8300701;1;11;;;
2919;8300807;1;12;;;
2930;8300870;1;11;;;
2942;8300934;1;12;;;
2953;8300897;1;11;;;
2964;8300994;1;11;;;
2976;8301382;2;12;;;
2988;8301804;2;12;;;
2999;8302286;2;11;;;
3010;8302904;2;11;;;
3022;8303282;3;12;;;
3033;8303628;3;11;;;
3045;8303378;3;12;;;
3056;8303034;2;11;;;
3068;8303116;2;12;;;
3079;8303100;2;11;;;
3090;8302747;2;11;;;
3101;8301898;2;11;;;
3114;8301049;1;13;;;
3125;8301024;1;11;;;
3136;8301421;2;11;;;
3148;8300615;1;12;;;
